kbli_code,Total_Predictions,Correct_Count,Accuracy,Avg_Confidence,Error_Count,Error_Rate
10222,3,0,0.0,0.9,3,100.0
10399,3,0,0.0,0.95,3,100.0
10312,3,0,0.0,0.9,3,100.0
10732,3,0,0.0,1.0,3,100.0
10531,3,0,0.0,0.9,3,100.0
10729,6,0,0.0,0.95,6,100.0
10734,3,0,0.0,1.0,3,100.0
10721,9,3,0.333,0.944,6,66.7
10216,6,3,0.5,0.9,3,50.0
10221,6,3,0.5,0.933,3,50.0
10750,66,34,0.515,0.913,32,48.5
10211,15,9,0.6,0.927,6,40.0
10437,9,6,0.667,0.933,3,33.3
10130,9,6,0.667,0.967,3,33.3
10393,3,2,0.667,0.9,1,33.3
10421,102,74,0.725,0.972,28,27.500000000000004
10710,114,85,0.746,0.957,29,25.4
10740,12,9,0.75,0.926,3,25.0
10431,30,24,0.8,0.962,6,19.999999999999996
10391,24,21,0.875,0.979,3,12.5
10722,51,45,0.882,0.992,6,11.799999999999999
10631,39,36,0.923,0.983,3,7.699999999999996
10212,6,6,1.0,0.975,0,0.0
10110,3,3,1.0,1.0,0,0.0
10120,6,6,1.0,1.0,0,0.0
10213,9,9,1.0,0.956,0,0.0
10214,3,3,1.0,1.0,0,0.0
10219,6,6,1.0,0.917,0,0.0
10423,6,6,1.0,1.0,0,0.0
10422,3,3,1.0,0.933,0,0.0
10293,3,3,1.0,0.967,0,0.0
10313,6,6,1.0,0.95,0,0.0
10299,3,3,1.0,1.0,0,0.0
10320,3,3,1.0,0.933,0,0.0
10392,21,21,1.0,1.0,0,0.0
10520,3,3,1.0,0.967,0,0.0
10633,3,3,1.0,0.9,0,0.0
10622,6,6,1.0,1.0,0,0.0
10632,3,3,1.0,1.0,0,0.0
10614,3,3,1.0,0.9,0,0.0
10616,3,3,1.0,1.0,0,0.0
10532,6,6,1.0,1.0,0,0.0
10621,6,6,1.0,0.983,0,0.0
