kbli_code,Total_Predictions,Accuracy,Avg_Confidence,Confidence_Std,Unique_UUIDs
10110,3,1.0,1.0,0.0,1
10120,6,1.0,1.0,0.0,2
10130,9,0.667,0.967,0.05,3
10211,15,0.6,0.927,0.046,5
10212,6,1.0,0.975,0.042,2
10213,9,1.0,0.956,0.053,3
10214,3,1.0,1.0,0.0,1
10216,6,0.5,0.9,0.0,2
10219,6,1.0,0.917,0.041,2
10221,6,0.5,0.933,0.052,2
10222,3,0.0,0.9,0.0,1
10293,3,1.0,0.967,0.058,1
10299,3,1.0,1.0,0.0,1
10312,3,0.0,0.9,0.0,1
10313,6,1.0,0.95,0.055,2
10320,3,1.0,0.933,0.058,1
10391,24,0.875,0.979,0.041,8
10392,21,1.0,1.0,0.0,7
10393,3,0.667,0.9,0.0,1
10399,3,0.0,0.95,0.05,1
10421,102,0.725,0.972,0.045,34
10422,3,1.0,0.933,0.058,1
10423,6,1.0,1.0,0.0,2
10431,30,0.8,0.962,0.046,10
10437,9,0.667,0.933,0.05,3
10520,3,1.0,0.967,0.058,1
10531,3,0.0,0.9,0.0,1
10532,6,1.0,1.0,0.0,2
10614,3,1.0,0.9,0.0,1
10616,3,1.0,1.0,0.0,1
10621,6,1.0,0.983,0.041,2
10622,6,1.0,1.0,0.0,2
10631,39,0.923,0.983,0.037,13
10632,3,1.0,1.0,0.0,1
10633,3,1.0,0.9,0.0,1
10710,114,0.746,0.957,0.049,38
10721,9,0.333,0.944,0.053,3
10722,51,0.882,0.992,0.027,17
10729,6,0.0,0.95,0.055,2
10732,3,0.0,1.0,0.0,1
10734,3,0.0,1.0,0.0,1
10740,12,0.75,0.926,0.04,4
10750,66,0.515,0.913,0.035,22
